event_type,event_cause,priority,requires_road_closure,zone,junction,start_datetime,end_datetime,latitude,longitude,hour,weekday,is_weekend,time_of_day,duration_minutes,congestion_score,congestion_proxy_label
unplanned,vehicle_breakdown,High,False,Unknown,Unknown,2024-03-07 17:01:48.111000+00:00,2024-03-07 17:42:54.275789502+00:00,13.0400041,77.5180991,17.0,3.0,0,evening_peak,41.102746491666664,15.0,High
unplanned,vehicle_breakdown,High,False,Unknown,Unknown,2024-01-30 04:07:24.173000+00:00,2024-01-30 04:17:46.828355+00:00,12.9218755,77.6451585,4.0,1.0,0,night,10.37758925,12.0,Medium
unplanned,others,Low,False,Central Zone 2,UrvashiJunction,2023-11-11 06:18:03.343000+00:00,2024-01-30 04:56:03.281509+00:00,12.955622,77.5857083,6.0,5.0,1,night,115117.99897515001,5.0,Low
unplanned,tree_fall,Low,True,Unknown,Unknown,2024-03-07 17:56:55.061000+00:00,2024-03-14 07:42:05.549439998+00:00,13.0061469,77.5794348,17.0,3.0,0,evening_peak,9465.174807333333,17.0,High
unplanned,vehicle_breakdown,Low,False,Unknown,LalbaghMainGateJunc,2024-01-30 04:56:32.348000+00:00,2024-01-30 05:35:17.338283+00:00,12.95398,77.5852333,4.0,1.0,0,night,38.74983805,8.0,Low
unplanned,accident,Low,False,North Zone 1,Unknown,2023-11-28 03:07:27.292421+00:00,2023-11-28 03:49:09.585765500+00:00,13.0664854,77.5998755,3.0,1.0,0,night,41.704889075,11.0,Medium
unplanned,vehicle_breakdown,Low,False,Unknown,Unknown,2024-01-30 07:26:26.739000+00:00,2024-01-30 08:07:32.903789502+00:00,12.9328703,77.4879814,7.0,1.0,0,night,41.102746491666664,8.0,Low
unplanned,others,Low,False,Unknown,Unknown,2024-01-30 06:05:59.339000+00:00,2024-02-16 01:28:18.330429002+00:00,12.973175,77.6003961,6.0,1.0,0,night,24202.316523816666,5.0,Low
planned,public_event,High,False,Unknown,QueensStatueCircle,,,12.97883573,77.59953728,,,0,night,234.17368333333334,10.0,Medium
unplanned,vehicle_breakdown,Low,False,Unknown,Unknown,2024-01-30 05:25:50.078000+00:00,2024-01-30 06:06:56.242789502+00:00,13.0373543,77.6540442,5.0,1.0,0,night,41.102746491666664,8.0,Low
